rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,msg,data,id,extended,dlc
1479513000000438090,,256742,,1479513000,373124,'',,"[12, 0, 0, 0, 0, 0, 0, 0]",103,False,1
1479513000001953538,,256743,,1479513000,1915000,'',,"[190, 37, 0, 0, 190, 37, 0, 128]",97,False,8
1479513000004770166,,256744,,1479513000,4729271,'',,"[184, 255, 69, 0, 0, 0, 0, 0]",108,False,4
1479513000005025224,,256745,,1479513000,4984565,'',,"[17, 0, 243, 255, 203, 3, 0, 0]",107,False,6
1479513000005421608,,256746,,1479513000,5381792,'',,"[139, 42, 0, 0, 139, 42, 0, 128]",99,False,8
1479513000005990215,,256747,,1479513000,5944712,'',,"[111, 19, 26, 0, 255, 0, 0, 0]",117,False,8
1479513000008975844,,256748,,1479513000,8906172,'',,"[0, 0, 0, 16, 15, 0, 0, 168]",116,False,8
1479513000010569782,,256749,,1479513000,10510562,'',,"[0, 1, 0, 192, 3, 0, 0, 0]",105,False,5
1479513000010786455,,256750,,1479513000,10741576,'',,"[215, 10, 225, 10, 205, 10, 219, 10]",106,False,8
1479513000015620263,,256751,,1479513000,15554312,'',,"[33, 0, 0, 0, 242, 12, 250, 128]",101,False,8
1479513000015836350,,256752,,1479513000,15791524,'',,"[205, 255, 70, 0, 0, 0, 0, 0]",108,False,4
1479513000016055629,,256753,,1479513000,15987231,'',,"[13, 0, 244, 255, 223, 3, 0, 0]",107,False,6
1479513000016342926,,256754,,1479513000,16278175,'',,"[111, 19, 26, 0, 255, 0, 0, 0]",117,False,8
1479513000016560309,,256755,,1479513000,16504870,'',,"[3, 254, 59, 254, 15, 254, 129, 0]",112,False,8
1479513000018470805,,256756,,1479513000,18418141,'',,"[214, 10, 222, 10, 209, 10, 211, 10]",106,False,8
1479513000021959868,,256757,,1479513000,21911534,'',,"[174, 37, 0, 0, 174, 37, 0, 128]",97,False,8
1479513000024913638,,256758,,1479513000,24816515,'',,"[225, 255, 70, 0, 0, 0, 0, 0]",108,False,4
1479513000025178431,,256759,,1479513000,25081438,'',,"[9, 0, 249, 255, 213, 3, 0, 0]",107,False,6
1479513000025708730,,256760,,1479513000,25502654,'',,"[155, 42, 0, 0, 155, 42, 0, 128]",99,False,8
1479513000027412355,,256761,,1479513000,27369570,'',,"[37, 19, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000028933885,,256762,,1479513000,28862109,'',,"[0, 0, 0, 16, 15, 0, 0, 168]",116,False,8
1479513000030632914,,256763,,1479513000,30568514,'',,"[216, 10, 225, 10, 205, 10, 210, 10]",106,False,8
1479513000034864113,,256764,,1479513000,34818614,'',,"[236, 255, 68, 0, 0, 0, 0, 0]",108,False,4
1479513000035110686,,256765,,1479513000,35080642,'',,"[10, 0, 253, 255, 233, 3, 0, 0]",107,False,6
1479513000035372288,,256766,,1479513000,35338343,'',,"[2, 19, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000035632494,,256767,,1479513000,35602530,'',,"[32, 0, 0, 0, 242, 12, 249, 128]",101,False,8
1479513000036454284,,256768,,1479513000,36413636,'',,"[3, 254, 59, 254, 15, 254, 129, 0]",112,False,8
1479513000038481498,,256769,,1479513000,38423196,'',,"[215, 10, 218, 10, 200, 10, 217, 10]",106,False,8
1479513000042002943,,256770,,1479513000,41961025,'',,"[126, 37, 0, 0, 126, 37, 0, 128]",97,False,8
1479513000044891175,,256771,,1479513000,44825031,'',,"[242, 255, 61, 0, 0, 0, 0, 0]",108,False,4
1479513000045103638,,256772,,1479513000,45068938,'',,"[11, 0, 251, 255, 252, 3, 0, 0]",107,False,6
1479513000045476676,,256773,,1479513000,45426465,'',,"[203, 42, 0, 0, 203, 42, 0, 128]",99,False,8
1479513000046214409,,256774,,1479513000,46149085,'',,"[2, 19, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000048974696,,256775,,1479513000,48908994,'',,"[0, 0, 0, 16, 15, 0, 0, 168]",116,False,8
1479513000050518966,,256776,,1479513000,50466751,'',,"[12, 0, 0, 0, 0, 0, 0, 0]",103,False,1
1479513000050769100,,256777,,1479513000,50738477,'',,"[215, 10, 217, 10, 206, 10, 214, 10]",106,False,8
1479513000054962987,,256778,,1479513000,54909938,'',,"[249, 255, 56, 0, 0, 0, 0, 0]",108,False,4
1479513000055236509,,256779,,1479513000,55195030,'',,"[199, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000055454474,,256780,,1479513000,55413199,'',,"[12, 0, 247, 255, 223, 3, 0, 0]",107,False,6
1479513000055711164,,256781,,1479513000,55670943,'',,"[29, 0, 0, 0, 243, 12, 248, 128]",101,False,8
1479513000056430097,,256782,,1479513000,56383482,'',,"[3, 254, 59, 254, 15, 254, 129, 0]",112,False,8
1479513000058451938,,256783,,1479513000,58413370,'',,"[215, 10, 215, 10, 197, 10, 210, 10]",106,False,8
1479513000060632673,,256784,,1479513000,60589433,'',,"[0, 1, 0, 192, 3, 0, 0, 0]",105,False,5
1479513000062104175,,256785,,1479513000,62067093,'',,"[191, 37, 0, 0, 191, 37, 0, 128]",97,False,8
1479513000065014309,,256786,,1479513000,64930217,'',,"[0, 0, 57, 0, 0, 0, 0, 0]",108,False,4
1479513000065280099,,256787,,1479513000,65214236,'',,"[12, 0, 245, 255, 213, 3, 0, 0]",107,False,6
1479513000065525574,,256788,,1479513000,65482642,'',,"[139, 42, 0, 0, 139, 42, 0, 128]",99,False,8
1479513000065988487,,256789,,1479513000,65942861,'',,"[114, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000069007130,,256790,,1479513000,68939560,'',,"[0, 0, 0, 16, 15, 0, 0, 168]",116,False,8
1479513000070881002,,256791,,1479513000,70836586,'',,"[214, 10, 214, 10, 203, 10, 212, 10]",106,False,8
1479513000075000736,,256792,,1479513000,74959217,'',,"[3, 0, 61, 0, 0, 0, 0, 0]",108,False,4
1479513000075254241,,256793,,1479513000,75216751,'',,"[10, 0, 244, 255, 193, 3, 0, 0]",107,False,6
1479513000075534722,,256794,,1479513000,75468906,'',,"[114, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000075784411,,256795,,1479513000,75722988,'',,"[27, 0, 0, 0, 243, 12, 248, 128]",101,False,8
1479513000076423998,,256796,,1479513000,76373271,'',,"[3, 254, 59, 254, 15, 254, 129, 0]",112,False,8
1479513000078554253,,256797,,1479513000,78497470,'',,"[216, 10, 217, 10, 202, 10, 214, 10]",106,False,8
1479513000081291715,,256798,,1479513000,81244136,'',,"[143, 3, 0, 0, 0, 0, 0, 0]",114,False,2
1479513000082117209,,256799,,1479513000,82083173,'',,"[192, 37, 0, 0, 192, 37, 0, 128]",97,False,8
1479513000084978499,,256800,,1479513000,84939508,'',,"[4, 0, 63, 0, 0, 0, 0, 0]",108,False,4
1479513000085252432,,256801,,1479513000,85220880,'',,"[8, 0, 244, 255, 223, 3, 0, 0]",107,False,6
1479513000085579016,,256802,,1479513000,85537495,'',,"[147, 42, 0, 0, 147, 42, 0, 128]",99,False,8
1479513000086329559,,256803,,1479513000,86287749,'',,"[70, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000088896587,,256804,,1479513000,88861715,'',,"[0, 0, 0, 16, 11, 0, 0, 168]",116,False,8
1479513000089714956,,256805,,1479513000,89683784,'',,"[170, 0, 0, 0, 0, 0, 0, 0]",115,False,8
1479513000090792198,,256806,,1479513000,90756071,'',,"[214, 10, 221, 10, 201, 10, 217, 10]",106,False,8
1479513000095311456,,256807,,1479513000,95221810,'',,"[32, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000095390836,,256808,,1479513000,95356474,'',,"[0, 0, 61, 0, 0, 0, 0, 0]",108,False,4
1479513000095741188,,256809,,1479513000,95709651,'',,"[25, 0, 0, 0, 242, 12, 247, 128]",101,False,8
1479513000095962719,,256810,,1479513000,95920071,'',,"[7, 0, 244, 255, 233, 3, 0, 0]",107,False,6
1479513000096696949,,256811,,1479513000,96656433,'',,"[3, 254, 59, 254, 15, 254, 129, 0]",112,False,8
1479513000098466662,,256812,,1479513000,98414735,'',,"[211, 10, 217, 10, 199, 10, 217, 10]",106,False,8
1479513000100634122,,256813,,1479513000,100591174,'',,"[12, 0, 0, 0, 0, 0, 0, 0]",103,False,1
1479513000102106675,,256814,,1479513000,102070234,'',,"[165, 37, 0, 0, 165, 37, 0, 128]",97,False,8
1479513000105286876,,256815,,1479513000,105081835,'',,"[251, 255, 56, 0, 0, 0, 0, 0]",108,False,4
1479513000105291168,,256816,,1479513000,105256550,'',,"[7, 0, 242, 255, 252, 3, 0, 0]",107,False,6
1479513000105601834,,256817,,1479513000,105561776,'',,"[155, 42, 0, 0, 155, 42, 0, 128]",99,False,8
1479513000106174572,,256818,,1479513000,106137530,'',,"[32, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000108865980,,256819,,1479513000,108820986,'',,"[0, 0, 0, 16, 10, 0, 0, 168]",116,False,8
1479513000110561160,,256820,,1479513000,110500759,'',,"[209, 10, 218, 10, 202, 10, 216, 10]",106,False,8
1479513000110712897,,256821,,1479513000,110676889,'',,"[0, 1, 0, 192, 3, 0, 0, 0]",105,False,5
1479513000115364889,,256822,,1479513000,115285052,'',,"[0, 18, 26, 0, 0, 0, 0, 0]",117,False,8
1479513000115780784,,256823,,1479513000,115732036,'',,"[22, 0, 0, 0, 242, 12, 247, 128]",101,False,8
1479513000116013026,,256824,,1479513000,115963238,'',,"[0, 0, 52, 0, 0, 0, 0, 0]",108,False,4
1479513000116241989,,256825,,1479513000,116205721,'',,"[10, 0, 241, 255, 213, 3, 0, 0]",107,False,6
1479513000117285664,,256826,,1479513000,117242310,'',,"[3, 254, 59, 254, 15, 254, 129, 0]",112,False,8
1479513000118421017,,256827,,1479513000,118383067,'',,"[211, 10, 217, 10, 201, 10, 217, 10]",106,False,8
