rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pedal_input,pedal_cmd,pedal_output,enabled,override,driver,watchdog_counter,source,fault_wdc,fault_ch1,fault_ch2,fault_connector
1479513000005448500,,18057,,1479513000,5381792,'',0.16618600487709045,0.0,0.16618600487709045,False,False,False,,0,False,False,False,True
1479513000025793725,,18058,,1479513000,25502654,'',0.16643014550209045,0.0,0.16643014550209045,False,False,False,,0,False,False,False,True
1479513000045508222,,18059,,1479513000,45426465,'',0.16716258227825165,0.0,0.16716258227825165,False,False,False,,0,False,False,False,True
1479513000065571021,,18060,,1479513000,65482642,'',0.16618600487709045,0.0,0.16618600487709045,False,False,False,,0,False,False,False,True
1479513000085615785,,18061,,1479513000,85537495,'',0.16630807518959045,0.0,0.16630807518959045,False,False,False,,0,False,False,False,True
1479513000105640152,,18062,,1479513000,105561776,'',0.16643014550209045,0.0,0.16643014550209045,False,False,False,,0,False,False,False,True
1479513000125869285,,18063,,1479513000,125749946,'',0.16716258227825165,0.0,0.16716258227825165,False,False,False,,0,False,False,False,True
1479513000145673945,,18064,,1479513000,145597734,'',0.16752880811691284,0.0,0.16752880811691284,False,False,False,,0,False,False,False,True
1479513000165721629,,18065,,1479513000,165662009,'',0.16691844165325165,0.0,0.16691844165325165,False,False,False,,0,False,False,False,True
1479513000185899445,,18066,,1479513000,185834914,'',0.16777294874191284,0.0,0.16777294874191284,False,False,False,,0,False,False,False,True
1479513000205903501,,18067,,1479513000,205837838,'',0.16801708936691284,0.0,0.16801708936691284,False,False,False,,0,False,False,False,True
1479513000225952510,,18068,,1479513000,225876163,'',0.16691844165325165,0.0,0.16691844165325165,False,False,False,,0,False,False,False,True
1479513000245834524,,18069,,1479513000,245761244,'',0.16874952614307404,0.0,0.16874952614307404,False,False,False,,0,False,False,False,True
1479513000265977817,,18070,,1479513000,265917393,'',0.16850538551807404,0.0,0.16850538551807404,False,False,False,,0,False,False,False,True
1479513000286151025,,18071,,1479513000,286077911,'',0.16899366676807404,0.0,0.16899366676807404,False,False,False,,0,False,False,False,True
1479513000305972096,,18072,,1479513000,305877506,'',0.16801708936691284,0.0,0.16801708936691284,False,False,False,,0,False,False,False,True
1479513000326128232,,18073,,1479513000,326021200,'',0.16911573708057404,0.0,0.16911573708057404,False,False,False,,0,False,False,False,True
1479513000346192274,,18074,,1479513000,346122449,'',0.17070268094539642,0.0,0.17070268094539642,False,False,False,,0,False,False,False,True
1479513000366221031,,18075,,1479513000,366137387,'',0.16984817385673523,0.0,0.16984817385673523,False,False,False,,0,False,False,False,True
1479513000386193446,,18076,,1479513000,386122810,'',0.17131303250789642,0.0,0.17131303250789642,False,False,False,,0,False,False,False,True
1479513000406263403,,18077,,1479513000,406191862,'',0.1725337654352188,0.0,0.1725337654352188,False,False,False,,0,False,False,False,True
1479513000426272617,,18078,,1479513000,426152869,'',0.1732661873102188,0.0,0.1732661873102188,False,False,False,,0,False,False,False,True
1479513000446210476,,18079,,1479513000,446124584,'',0.1753414273262024,0.0,0.1753414273262024,False,False,False,,0,False,False,False,True
