rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,turn_signal,value,high_beam_headlights,wiper,status,ambient_light,status,btn_cc_on,btn_cc_off,btn_cc_on_off,btn_cc_res,btn_cc_cncl,btn_cc_res_cncl,btn_cc_set_inc,btn_cc_set_dec,btn_cc_gap_inc,btn_cc_gap_dec,btn_la_on_off,fault_bus,door_driver,door_passenger,door_rear_left,door_rear_right,door_hood,door_trunk,passenger_detect,passenger_airbag,buckle_driver,buckle_passenger
1479513000010719464,,7222,,1479513000,10510562,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000060669511,,7223,,1479513000,60589433,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000110763364,,7224,,1479513000,110676889,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000160808297,,7225,,1479513000,160729259,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000210901029,,7226,,1479513000,210818334,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000261032948,,7227,,1479513000,260933699,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000311192611,,7228,,1479513000,311090421,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000361218665,,7229,,1479513000,361123320,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000412112884,,7230,,1479513000,411144121,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000463879216,,7231,,1479513000,463721643,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000511479406,,7232,,1479513000,511326320,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000561503682,,7233,,1479513000,561409369,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000611953968,,7234,,1479513000,611498997,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000661708344,,7235,,1479513000,661607550,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000711794826,,7236,,1479513000,711683091,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000761968605,,7237,,1479513000,761771903,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000811921477,,7238,,1479513000,811813736,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000863081783,,7239,,1479513000,861921237,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000912172765,,7240,,1479513000,912075917,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
1479513000962398833,,7241,,1479513000,962089240,'',,0,False,,0,,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
