rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,brake_torque_request,brake_torque_actual,wheel_torque_actual,accel_over_ground,hsa,status,mode,abs_active,abs_enabled,stab_active,stab_enabled,trac_active,trac_enabled,parking_brake,status,stationary
1479513000009007653,,18086,,1479513000,8906172,'',0.0,0.0,60.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000028974843,,18087,,1479513000,28862109,'',0.0,0.0,60.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000049040003,,18088,,1479513000,48908994,'',0.0,0.0,60.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000069040168,,18089,,1479513000,68939560,'',0.0,0.0,60.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000088929889,,18090,,1479513000,88861715,'',0.0,0.0,44.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000108905165,,18091,,1479513000,108820986,'',0.0,0.0,40.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000128985644,,18092,,1479513000,128886513,'',0.0,0.0,28.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000148976177,,18093,,1479513000,148866363,'',0.0,0.0,20.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000168951634,,18094,,1479513000,168863013,'',0.0,0.0,32.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000188963851,,18095,,1479513000,188880219,'',0.0,0.0,36.0,0.0,,0,1,False,True,False,True,False,True,,0,False
1479513000208989595,,18096,,1479513000,208905865,'',0.0,0.0,60.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000229226702,,18097,,1479513000,229124210,'',0.0,0.0,88.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000248989254,,18098,,1479513000,248869474,'',0.0,0.0,60.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000269203734,,18099,,1479513000,268905085,'',0.0,0.0,20.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000288984054,,18100,,1479513000,288902205,'',0.0,0.0,40.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000308998019,,18101,,1479513000,308900686,'',0.0,0.0,36.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000328999524,,18102,,1479513000,328910051,'',0.0,0.0,32.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000348985088,,18103,,1479513000,348881296,'',0.0,0.0,28.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000369100446,,18104,,1479513000,368929686,'',0.0,0.0,28.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000388939133,,18105,,1479513000,388856972,'',0.0,0.0,32.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000408948775,,18106,,1479513000,408864871,'',0.0,0.0,24.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000428915374,,18107,,1479513000,428856060,'',0.0,0.0,0.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000449910625,,18108,,1479513000,448860256,'',0.0,0.0,8.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000469000453,,18109,,1479513000,468923256,'',0.0,0.0,12.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000488969927,,18110,,1479513000,488894295,'',0.0,0.0,20.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
1479513000508951367,,18111,,1479513000,508860041,'',0.0,0.0,12.0,-0.03500000014901161,,0,1,False,True,False,True,False,True,,0,False
